feature,mean_abs_shap
rain_1d,0.2122365
rain_3d,0.18184935
wet_days_30,0.14520904
slope_std,0.14492849
et0_7d,0.13263524
rain_max_1d_in_30,0.120622426
aspect_cos,0.090760455
hist_events_before,0.08700109
rain_15d,0.08331118
sm_0_7_delta_7d,0.079547025
elev_range,0.07528304
rain_30d,0.07266816
rain_30d_anomaly,0.0652757
slope_max,0.0631817
rain_max_1d_in_7,0.054081693
wetness_ratio_7d,0.052791007
rain_7d_anomaly,0.050595418
sm_7_28,0.050585072
slope_mean,0.04984381
doy_sin,0.047815666
doy_cos,0.04501681
sm_28_100_delta_7d,0.04223271
temp_mean_7d,0.042070974
tri,0.041997336
api,0.040588792
elev_mean,0.031128734
sm_28_100_mean_7d,0.028801495
sm_7_28_delta_1d,0.027014177
sm_0_7_delta_1d,0.026879258
sm_0_7,0.026053922
aspect_sin,0.025839401
sm_28_100_delta_1d,0.02545702
wet_days_7,0.022634251
rain_7d,0.018569311
sm_0_7_mean_7d,0.017470932
sm_7_28_delta_7d,0.01703992
sm_28_100,0.016505444
sm_7_28_mean_7d,0.012983618
month,0.0052398182
has_prior_event,0.0044830916
is_monsoon,0.0
